id,name,dex_num,type,is_pre_evolution,weight,gender_ratio,is_mythical,is_legendary,is_max,is_mega,mandatory_item_name,base_stats
0031bf52-7239-49fd-a748-2a312b69e3f0,Marshadow,802,"[""Fighting"",""Ghost""]",false,22.2,,true,false,false,false,,"{""hp"":90,""atk"":125,""def"":80,""spa"":90,""spd"":90,""spe"":125}"
00320ba1-442e-49c2-8b37-2626186c5f73,Zebstrika,523,"[""Electric""]",false,79.5,,false,false,false,false,,"{""hp"":75,""atk"":100,""def"":63,""spa"":80,""spd"":63,""spe"":116}"
003df10f-5372-476e-acf0-86f91e527749,Dusknoir,477,"[""Ghost""]",false,106.6,,false,false,false,false,,"{""hp"":45,""atk"":100,""def"":135,""spa"":65,""spd"":135,""spe"":45}"
007a4cc9-f8b8-4ae6-8902-511575a8085e,Orbeetle,826,"[""Bug"",""Psychic""]",false,40.8,,false,false,false,false,,"{""hp"":60,""atk"":45,""def"":110,""spa"":80,""spd"":120,""spe"":90}"
00fa5e38-b25b-4f08-b1e3-ee571c70c1ff,Taillow,276,"[""Normal"",""Flying""]",true,2.3,,false,false,false,false,,"{""hp"":40,""atk"":55,""def"":30,""spa"":30,""spd"":30,""spe"":85}"
01042f5b-3d34-4f49-9fa6-64afa3855676,Spheal,363,"[""Ice"",""Water""]",true,39.5,,false,false,false,false,,"{""hp"":70,""atk"":40,""def"":50,""spa"":55,""spd"":50,""spe"":25}"
0111a193-8e89-4366-85ec-0de481c0fa3b,Darmanitan-Galar-Zen,555,"[""Ice"",""Fire""]",false,120,,false,false,false,false,,"{""hp"":105,""atk"":160,""def"":55,""spa"":30,""spd"":55,""spe"":135}"
0157a09c-f9fa-4a03-8bf3-c833fb67a673,Excadrill,530,"[""Ground"",""Steel""]",false,40.4,,false,false,false,false,,"{""hp"":110,""atk"":135,""def"":60,""spa"":50,""spd"":65,""spe"":88}"
01750377-2f5c-4422-8f81-8cacdaa3cb35,Rotom-Heat,479,"[""Electric"",""Fire""]",false,0.3,,false,false,false,false,,"{""hp"":50,""atk"":65,""def"":107,""spa"":105,""spd"":107,""spe"":86}"
017ba37d-f44e-470b-9bfe-fe2729cbbfd9,Pecharunt,1025,"[""Poison"",""Ghost""]",false,0.3,,true,false,false,false,,"{""hp"":88,""atk"":88,""def"":160,""spa"":88,""spd"":88,""spe"":88}"
01b6da88-4096-4fb6-825c-77821e811fe1,Groudon,383,"[""Ground""]",false,950,,false,true,false,false,,"{""hp"":100,""atk"":150,""def"":140,""spa"":100,""spd"":90,""spe"":90}"
01e6d990-1a70-4f26-927c-618aaa622b5d,Forretress,205,"[""Bug"",""Steel""]",false,125.8,,false,false,false,false,,"{""hp"":75,""atk"":90,""def"":140,""spa"":60,""spd"":60,""spe"":40}"
020b4489-f5cf-468d-95fa-36f3e6210f2c,Mime Jr.,439,"[""Psychic"",""Fairy""]",true,13,,false,false,false,false,,"{""hp"":20,""atk"":25,""def"":45,""spa"":70,""spd"":90,""spe"":60}"
02220d42-0f30-49b5-804e-4d7ad81fd2b8,Cufant,878,"[""Steel""]",true,100,,false,false,false,false,,"{""hp"":72,""atk"":80,""def"":49,""spa"":40,""spd"":49,""spe"":40}"
024c33e7-494b-44b6-8196-b8786bd85f21,Loudred,294,"[""Normal""]",true,40.5,,false,false,false,false,,"{""hp"":84,""atk"":71,""def"":43,""spa"":71,""spd"":43,""spe"":48}"
025c33b2-ad84-4e3b-8eb3-7ec799abb8b3,Raticate,20,"[""Normal""]",false,18.5,,false,false,false,false,,"{""hp"":55,""atk"":81,""def"":60,""spa"":50,""spd"":70,""spe"":97}"
