pokemon_id,ability_id,is_hidden_ability
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,69628ef0-84a0-49ae-aeef-b1598bfec40b,0
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,efd5dfeb-33f7-4e6a-9a80-663435ebdbef,1
1cac18f5-d4ec-48b3-85cb-0d456ef3adf5,69628ef0-84a0-49ae-aeef-b1598bfec40b,0
1cac18f5-d4ec-48b3-85cb-0d456ef3adf5,efd5dfeb-33f7-4e6a-9a80-663435ebdbef,1
9a385c2f-1998-4b38-8e74-5a82fc2154f2,69628ef0-84a0-49ae-aeef-b1598bfec40b,0
9a385c2f-1998-4b38-8e74-5a82fc2154f2,efd5dfeb-33f7-4e6a-9a80-663435ebdbef,1
fccc3df1-efad-4176-8f51-97edcd0289d1,a392bc42-c6ee-4c6c-8e95-922301a147be,0
c55106e3-bdd8-4ab9-97f7-00fc51f3a98f,69628ef0-84a0-49ae-aeef-b1598bfec40b,0
c55106e3-bdd8-4ab9-97f7-00fc51f3a98f,efd5dfeb-33f7-4e6a-9a80-663435ebdbef,1
e22546e1-7dae-4d89-a23e-17b01a530bb4,cdf67e6b-4764-488c-8171-efc6206ce3e9,0
e22546e1-7dae-4d89-a23e-17b01a530bb4,3727a23c-0f09-4bc1-bd0e-2cd0675bafce,1
b7bfb9f8-b100-4012-9a54-0802ae43814b,cdf67e6b-4764-488c-8171-efc6206ce3e9,0
b7bfb9f8-b100-4012-9a54-0802ae43814b,3727a23c-0f09-4bc1-bd0e-2cd0675bafce,1
eaa46ab2-592c-43f3-9514-070ee9fe3faf,cdf67e6b-4764-488c-8171-efc6206ce3e9,0
eaa46ab2-592c-43f3-9514-070ee9fe3faf,3727a23c-0f09-4bc1-bd0e-2cd0675bafce,1
ad66eade-2361-4294-92d2-1eb840a9578b,cb5c83d6-7e1a-448e-8166-3b19ced4b72f,0
071407db-e7f0-43e8-b714-4d304d8012f9,7d62cae2-f6ac-49c7-a82c-91b4cf26349d,0
240c9a56-1702-407e-b898-4b601b5ee949,cdf67e6b-4764-488c-8171-efc6206ce3e9,0
240c9a56-1702-407e-b898-4b601b5ee949,3727a23c-0f09-4bc1-bd0e-2cd0675bafce,1
4dd63283-ca1c-4f93-a271-e6b0013de03c,ed959385-60d1-4d44-97ee-3c82b926080b,0
4dd63283-ca1c-4f93-a271-e6b0013de03c,283c1ce5-b90e-41e4-b60f-a0381a02d3b4,1
42b17749-8001-4a3c-ac1a-9f2133848402,ed959385-60d1-4d44-97ee-3c82b926080b,0
42b17749-8001-4a3c-ac1a-9f2133848402,283c1ce5-b90e-41e4-b60f-a0381a02d3b4,1
456cc454-f54a-44be-aa19-d2a78a268b00,ed959385-60d1-4d44-97ee-3c82b926080b,0
456cc454-f54a-44be-aa19-d2a78a268b00,283c1ce5-b90e-41e4-b60f-a0381a02d3b4,1
fe9133c0-69bf-4487-8a1e-4bfa1df11027,3f5335a9-45bc-4320-a93a-ee097f552cf5,0
5a2635fa-d44f-4da5-ba32-f6750b000aab,ed959385-60d1-4d44-97ee-3c82b926080b,0
5a2635fa-d44f-4da5-ba32-f6750b000aab,283c1ce5-b90e-41e4-b60f-a0381a02d3b4,1
7f223ab6-07e4-478d-b38e-45ffd0759009,02ecd9eb-e5e8-4019-8df1-9b8fe43bd4d8,0
7f223ab6-07e4-478d-b38e-45ffd0759009,76a82351-5b31-4b0f-8a79-6ec504b4efd6,1
3b167d66-74ab-41fd-bc03-95c4423ba72a,b2a7c6f4-5e2f-4ce2-bb4e-3c30b04b5a7e,0
107db81a-a2e8-4d27-b694-7b8fab37733f,3baa62d3-0897-4317-bc9d-e3ad617263b1,0
107db81a-a2e8-4d27-b694-7b8fab37733f,c1edbeaf-334b-4aea-8908-edeef4fc0fcb,1
3de7638e-a7e5-4c79-9b6a-d379f188a7e2,3baa62d3-0897-4317-bc9d-e3ad617263b1,0
3de7638e-a7e5-4c79-9b6a-d379f188a7e2,c1edbeaf-334b-4aea-8908-edeef4fc0fcb,1
142b45fb-6476-46d5-8fb1-c2ed1ba7d6d2,02ecd9eb-e5e8-4019-8df1-9b8fe43bd4d8,0
142b45fb-6476-46d5-8fb1-c2ed1ba7d6d2,76a82351-5b31-4b0f-8a79-6ec504b4efd6,1
f7b38a10-5913-4758-937a-b48170c42202,b2a7c6f4-5e2f-4ce2-bb4e-3c30b04b5a7e,0
109223d3-1e05-46f5-b70b-4cb709506b70,13760beb-7513-4589-a37b-fbf391150aef,0
109223d3-1e05-46f5-b70b-4cb709506b70,22f3cb10-2d32-4526-85c7-24be24ffbc39,1
59694aed-ea78-4d0a-ba88-fe62001b47d6,43c4f371-a026-43cb-832b-ad8cecf9a58a,0
84dd558b-50e6-47ff-8084-a6cb4eda06ed,26f22bd2-22aa-4d33-bed5-12251fc0292e,0
84dd558b-50e6-47ff-8084-a6cb4eda06ed,9b9af008-a0ae-480b-8813-d4495e27e703,0
84dd558b-50e6-47ff-8084-a6cb4eda06ed,66c8d298-2bec-4ad6-9667-084a8ba5b728,1
fbba2f37-c7c9-4852-8c8c-915c24d2b749,26f22bd2-22aa-4d33-bed5-12251fc0292e,0
fbba2f37-c7c9-4852-8c8c-915c24d2b749,9b9af008-a0ae-480b-8813-d4495e27e703,0
fbba2f37-c7c9-4852-8c8c-915c24d2b749,66c8d298-2bec-4ad6-9667-084a8ba5b728,1
387f63c9-4718-4ca7-93d6-a94fa5ffbd8b,26f22bd2-22aa-4d33-bed5-12251fc0292e,0
387f63c9-4718-4ca7-93d6-a94fa5ffbd8b,9b9af008-a0ae-480b-8813-d4495e27e703,0
387f63c9-4718-4ca7-93d6-a94fa5ffbd8b,66c8d298-2bec-4ad6-9667-084a8ba5b728,1
c5c02ccb-66b8-4b57-bc28-7f05456ed45c,3aebe557-cd51-44fe-8f67-ee651efab19e,0
d3d5d4ee-9103-494a-a6a4-fa2fd1e8925c,76a82351-5b31-4b0f-8a79-6ec504b4efd6,0
d3d5d4ee-9103-494a-a6a4-fa2fd1e8925c,770b0e3b-be36-4b83-b1cd-99d2c6d24d09,0
d3d5d4ee-9103-494a-a6a4-fa2fd1e8925c,02ce0d3d-e6a3-4f5f-a6ca-5a7b5936054f,1
65c0e98e-6f2e-4723-a997-559daba2dd8c,b728fcc5-a1c0-4e49-8fa1-a58cee5fb854,0
65c0e98e-6f2e-4723-a997-559daba2dd8c,02ce0d3d-e6a3-4f5f-a6ca-5a7b5936054f,0
65c0e98e-6f2e-4723-a997-559daba2dd8c,a392bc42-c6ee-4c6c-8e95-922301a147be,1
025c33b2-ad84-4e3b-8eb3-7ec799abb8b3,76a82351-5b31-4b0f-8a79-6ec504b4efd6,0
025c33b2-ad84-4e3b-8eb3-7ec799abb8b3,770b0e3b-be36-4b83-b1cd-99d2c6d24d09,0
025c33b2-ad84-4e3b-8eb3-7ec799abb8b3,02ce0d3d-e6a3-4f5f-a6ca-5a7b5936054f,1
6c49b029-0583-474c-b5bc-c5bee422cb7b,b728fcc5-a1c0-4e49-8fa1-a58cee5fb854,0
6c49b029-0583-474c-b5bc-c5bee422cb7b,02ce0d3d-e6a3-4f5f-a6ca-5a7b5936054f,0
6c49b029-0583-474c-b5bc-c5bee422cb7b,a392bc42-c6ee-4c6c-8e95-922301a147be,1
d18d3f8d-4a51-4d60-a9a5-b954c2015ea4,a392bc42-c6ee-4c6c-8e95-922301a147be,0
d349dae6-f761-4c9b-9e25-bb283f63d6e1,26f22bd2-22aa-4d33-bed5-12251fc0292e,0
d349dae6-f761-4c9b-9e25-bb283f63d6e1,22f3cb10-2d32-4526-85c7-24be24ffbc39,1
4ead89b5-4d1a-40f0-bbc3-c94bbb0dcba8,26f22bd2-22aa-4d33-bed5-12251fc0292e,0
4ead89b5-4d1a-40f0-bbc3-c94bbb0dcba8,22f3cb10-2d32-4526-85c7-24be24ffbc39,1
609e37b1-a3c0-4e80-b2aa-ee67b98c7068,3076409c-a264-4a5b-844a-502559f4cd4b,0
609e37b1-a3c0-4e80-b2aa-ee67b98c7068,b2a7c6f4-5e2f-4ce2-bb4e-3c30b04b5a7e,0
609e37b1-a3c0-4e80-b2aa-ee67b98c7068,4d1bf273-219b-4c6b-8195-ff0437bebd78,1
57d70fd3-203e-401f-8697-c12d280d2634,3076409c-a264-4a5b-844a-502559f4cd4b,0
