pokemon_id,move_id,is_egg_move,is_tm_move,is_tutor_move,is_levelup_move,levelup_level
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,8f379970-3e8c-48ea-8a63-50a68db4ab8b,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,81794f76-5f78-4857-9158-22e8ab964057,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,a250600a-5a47-4c6a-9843-3dffc0cc4a39,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,98030f49-256b-4ad3-be74-e831f0ff3e7c,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,b4412bd9-f882-4782-bb52-d59d044c9bea,1,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,c403f306-836a-4357-9327-14a0186a3b16,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,8f5956e5-02df-49bb-8718-ce302f706faf,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,217c7ba0-250c-4d48-84d7-7e5a8cf69eb9,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,3e043ff4-e17d-4c27-87e4-2b2d43c62120,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,4bad5eb1-3802-446a-84fa-e8bb5bf7666b,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,ce6ca471-9096-48d3-bc00-67e6fc98a607,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,bce69204-7897-4e89-bed5-b30eaab52a3d,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,f17ba060-154b-473f-83e1-b062d0bc43e7,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,5b16355b-9512-483c-af26-8025ce8f666b,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,a8cf8765-37de-49ea-b853-78f25b13e80d,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,874841a2-8504-41ac-9ce9-7b739c6f61a3,0,0,0,1,1
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,b457030a-cd3f-465b-866a-6e2d7ebfbbce,0,0,0,1,6
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,a0367aaf-98b2-48d4-b370-0dfa009b4477,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,ac05ecb2-029f-409e-8973-152600ab76ac,1,0,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,8dbd8130-baab-4607-a177-34d04c135aae,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,382dca3f-5171-4d93-995b-f11fca3c583b,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,0ab121ab-baca-4f8b-9985-db6265c9c3a9,0,0,0,1,9
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,2cdb5b3a-106e-4a5d-a98a-7e84589ea98a,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,08fd952c-ef1c-4788-9bab-129060b5305d,1,0,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,d1e66be8-ef6b-47b1-98c1-b2ac7673ae9d,0,0,0,1,15
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,5dbca5db-da56-4f2d-9c5d-6371f6594efd,0,0,0,1,33
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,9efe1543-aefc-4629-b882-e153c3e6c067,0,1,0,0,
1e76b69a-13ce-498a-bf8c-e6d0aee65b4b,c5cfa99c-3834-4059-b292-776e578123e0,0,0,0,1,12
